date	amount	description
20-12-2015	90000	Водопровод
20-12-2015	15000	Членские взносы 3 и 4 кварталы 2015 года
20-12-2015	1000	Выравнивание дороги (грейдер)
13-02-2016	60000	Водопровод
24-04-2016	7500	Членские взносы 1 квартал 2016 года
24-04-2016	15000	Оформление земли в собственность
29-05-2016	120000	Канализация
26-06-2016	7500	Членские взносы 2 квартал 2016 года
23-07-2016	550	Осуществление технического присоединения к электрическим сетям
17-09-2016	7500	Членские взносы 3 квартал 2016 года
22-10-2016	60000	Электричество
31-12-2016	5000	Членские взносы 4 квартал 2016 года
25-03-2017	7500	Членские взносы 1 квартал 2017 года
19-10-2017	15000	Членские взносы 2,3 квартал 2017 года
14-03-2018	15000	Членские взносы 4 квартал 2017; 1 квартал 2018 года
# vim: noexpandtab list
